epoch,lr,train_loss,val_loss,val_mpjpe,val_pampjpe,val_mpjpe_h,val_mpjpe_v,val_mpjpe_d,val_pck50,val_pck40,val_pck30,val_pck20,val_pck10,epoch_seconds
1,0.0001,0.2187505265014081,0.08933943855068223,435.2141181707043,130.73559451039017,303.8028564453125,203.72564697265625,113.69332885742188,85.06783395176255,75.62072414192949,61.096938775510196,40.2097344619666,12.96853258348794,114.01895451545715
2,0.0001,0.07619169522312623,0.0666534759061919,361.8119692008831,125.12121487220381,236.07899475097656,176.7018280029297,107.72158813476562,90.25575429035248,83.88291396103895,72.6258116883117,52.82279104823747,19.550817486085347,78.22051095962524
3,0.0001,0.05058637268935578,0.045515362808311526,300.8912824763682,123.64482561885717,169.08404541015625,161.54005432128906,106.91263580322266,94.95629928107604,90.86596996753246,82.19322530148423,62.85946196660485,23.18674628942487,71.8071653842926
4,0.0001,0.036998419298589984,0.03714378734796562,262.1204113044576,124.30384251067757,145.3456268310547,133.30010986328125,104.11650848388672,96.22021393784782,93.59744608070501,87.42499130333951,71.89420512523188,30.852852504638225,56.03485107421875
5,0.0001,0.028836351291193992,0.029580379878594118,248.15799083682586,107.65271146843477,129.7332305908203,117.89888763427734,122.77709197998047,97.79612128942485,95.74986955009273,90.4311369434137,73.59838821892394,28.250739216140985,58.108543157577515
6,0.0001,0.024794800952076913,0.025956610418771477,224.15253516586543,105.49158050024795,116.58901977539062,117.8342056274414,98.18213653564453,98.09072066326529,96.29304846938773,91.48778119202224,77.86518726808906,38.35118564471243,57.72666311264038
7,0.0001,0.021813229971294163,0.022158889883113177,205.18744325163016,104.2724712373001,100.48306274414062,101.91580200195312,100.1990966796875,98.062818877551,96.6608447356215,93.18000637755107,82.2577255333952,44.69793599257887,62.09524130821228
8,0.0001,0.019521212297244163,0.023779369271572003,204.6784467113815,106.11755751865202,109.88653564453125,104.49390411376953,87.53235626220703,98.09072066326529,96.61881087662336,92.74553571428568,81.88304441094618,46.67715097402598,60.40528726577759
9,0.0001,0.018802370220611368,0.019737980090378023,181.1728779859258,97.56886260867955,94.91837310791016,92.41773986816406,77.95328521728516,98.52410424397031,97.39100185528751,94.67909322820039,86.29297599721707,54.90781539888681,67.6656141281128
10,0.0001,0.015261095436879351,0.01878294275163419,184.5404213244681,95.27356523936707,88.62528991699219,97.41265106201172,87.27556610107422,98.91980229591837,97.64864042207792,94.49936224489798,84.78265596011134,52.673498376623364,61.19290566444397
